date,GROUP,Interest,REGION
2017-12-17,Kohh,8,TW
2017-12-24,Kohh,8,TW
2017-12-31,Kohh,0,TW
2018-01-07,Kohh,8,TW
2018-01-14,Kohh,8,TW
2018-01-21,Kohh,8,TW
2018-01-28,Kohh,0,TW
2018-02-04,Kohh,0,TW
2018-02-11,Kohh,0,TW
2018-02-18,Kohh,0,TW
2018-02-25,Kohh,8,TW
2018-03-04,Kohh,17,TW
2018-03-11,Kohh,8,TW
2018-03-18,Kohh,8,TW
2018-03-25,Kohh,0,TW
2018-04-01,Kohh,0,TW
2018-04-08,Kohh,0,TW
2018-04-15,Kohh,8,TW
2018-04-22,Kohh,8,TW
2018-04-29,Kohh,0,TW
2018-05-06,Kohh,8,TW
2018-05-13,Kohh,8,TW
2018-05-20,Kohh,8,TW
2018-05-27,Kohh,0,TW
2018-06-03,Kohh,7,TW
2018-06-10,Kohh,0,TW
2018-06-17,Kohh,7,TW
2018-06-24,Kohh,0,TW
2018-07-01,Kohh,0,TW
2018-07-08,Kohh,0,TW
2018-07-15,Kohh,0,TW
2018-07-22,Kohh,0,TW
2018-07-29,Kohh,14,TW
2018-08-05,Kohh,7,TW
2018-08-12,Kohh,7,TW
2018-08-19,Kohh,0,TW
2018-08-26,Kohh,0,TW
2018-09-02,Kohh,0,TW
2018-09-09,Kohh,15,TW
2018-09-16,Kohh,8,TW
2018-09-23,Kohh,0,TW
2018-09-30,Kohh,14,TW
2018-10-07,Kohh,6,TW
2018-10-14,Kohh,6,TW
2018-10-21,Kohh,0,TW
2018-10-28,Kohh,0,TW
2018-11-04,Kohh,0,TW
2018-11-11,Kohh,0,TW
2018-11-18,Kohh,0,TW
2018-11-25,Kohh,0,TW
2018-12-02,Kohh,6,TW
2018-12-09,Kohh,6,TW
2018-12-16,Kohh,6,TW
2018-12-23,Kohh,6,TW
2018-12-30,Kohh,6,TW
2019-01-06,Kohh,0,TW
2019-01-13,Kohh,12,TW
2019-01-20,Kohh,9,TW
2019-01-27,Kohh,9,TW
2019-02-03,Kohh,0,TW
2019-02-10,Kohh,6,TW
2019-02-17,Kohh,0,TW
2019-02-24,Kohh,6,TW
2019-03-03,Kohh,6,TW
2019-03-10,Kohh,9,TW
2019-03-17,Kohh,0,TW
2019-03-24,Kohh,8,TW
2019-03-31,Kohh,0,TW
2019-04-07,Kohh,8,TW
2019-04-14,Kohh,8,TW
2019-04-21,Kohh,11,TW
2019-04-28,Kohh,0,TW
2019-05-05,Kohh,13,TW
2019-05-12,Kohh,33,TW
2019-05-19,Kohh,0,TW
2019-05-26,Kohh,0,TW
2015-01-04,Vince Staples,0,TW
2015-01-11,Vince Staples,0,TW
2015-01-18,Vince Staples,0,TW
2015-01-25,Vince Staples,0,TW
2015-02-01,Vince Staples,0,TW
2015-02-08,Vince Staples,0,TW
2015-02-15,Vince Staples,0,TW
2015-02-22,Vince Staples,0,TW
2015-03-01,Vince Staples,0,TW
2015-03-08,Vince Staples,0,TW
2015-03-15,Vince Staples,0,TW
2015-03-22,Vince Staples,0,TW
2015-03-29,Vince Staples,0,TW
2015-04-05,Vince Staples,0,TW
2015-04-12,Vince Staples,0,TW
2015-04-19,Vince Staples,0,TW
2015-04-26,Vince Staples,0,TW
2015-05-03,Vince Staples,0,TW
2015-05-10,Vince Staples,0,TW
2015-05-17,Vince Staples,0,TW
2015-05-24,Vince Staples,0,TW
2015-05-31,Vince Staples,0,TW
2015-06-07,Vince Staples,0,TW
2015-06-14,Vince Staples,0,TW
2015-06-21,Vince Staples,0,TW
2015-06-28,Vince Staples,0,TW
2015-07-05,Vince Staples,0,TW
2015-07-12,Vince Staples,0,TW
2015-07-19,Vince Staples,90,TW
2015-07-26,Vince Staples,0,TW
2015-08-02,Vince Staples,0,TW
2015-08-09,Vince Staples,0,TW
2015-08-16,Vince Staples,0,TW
2015-08-23,Vince Staples,0,TW
2015-08-30,Vince Staples,0,TW
2015-09-06,Vince Staples,0,TW
